"O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"25-4021.00",4.02,4,3.62,3,3.12,3.75,4,2.38,2.88,2.25,4.25,4.12,3,2.88,3.38,3,0,3,2.88,2.5,4.25,4,1
"25-4031.00",3.74,3,3,3,2.12,2.88,3,2,2.5,2.12,3.88,3.88,2.12,2.62,3,2.75,1.12,2,2,2,3.75,3,0
"25-9011.00",3.9,3.25,3.62,3.12,3.5,3.25,3.5,2,2.38,2.12,4,4,3.25,2.75,3.62,2.88,0.62,2.75,2.12,3.88,3.88,3.62,1
"25-9021.00",4.14,3.75,4.25,3.25,4.12,4.25,4,3.38,3.12,3.38,4.62,4.5,4.12,2.88,4.12,2.88,1.75,3,2.88,2.88,4.38,4.25,1
"25-9031.00",4.12,3.5,4.12,3,3.75,4.12,3.88,2.88,3.12,3,4.62,4.75,3.75,2.75,4,3.12,0,2.88,2.75,3,4.88,4.62,1
"25-9031.01",4.52,3.5,4,2.75,3.88,4,3.62,2.5,2.88,2.5,4.38,4.12,3.88,2.38,4,3.12,0,2.88,2.62,2.62,4.25,4.25,1
"25-9041.00",3.27,2.75,3,2.12,2.88,2.88,3,1.38,2.25,1.75,4,4,2.75,2,3.25,2.75,0.12,2,2.25,2,2.88,2.88,0
"27-1011.00",3.8,4,4,3,4,3.75,3.88,3.25,2.62,2.62,4,4.12,4.38,2.88,3.62,2.75,0,3,2.5,4,3.88,3.88,0
"27-1012.00",3.6,3.5,3,2,3.62,2.75,3,2.12,2,2.5,3,3,3.88,2,2.5,2.62,0,2,2.12,3.88,3,2.62,0
"27-1013.00",3.61,3.25,3,2.62,4.12,3,3,1.38,1.25,2.12,3.5,3.38,4.62,2.25,3,3,0,1.88,2,4.25,3,3,0
"27-1014.00",3.35,3.62,3.75,2.75,4,3.38,3.38,2.38,2.62,2.5,4.12,4,4,2.75,3.5,3,0,2.75,2.38,4,4,3.75,0
"27-1021.00",4.16,3.88,4.62,3.75,4,3.88,3.88,3.38,2.62,2.88,4,4,4.38,2.75,3.88,3.12,0.38,2.25,2.38,4.25,4,3.88,1
"27-1022.00",3.89,3.63,3.63,3,3.88,3.38,3.38,2.25,1.88,2.5,4,4,4.38,2.88,3.25,3.13,0.25,1.75,2.25,3.63,3.88,3.63,1
"27-1023.00",3.51,3.12,3.12,1.75,3.38,2.88,3.12,1.88,1.62,1.5,3.75,3.88,3.12,2.12,2.75,2.25,0.62,1.75,2.12,3.5,3,2.88,0
"27-1024.00",3.85,3.12,3.25,2.62,4,3.12,3.38,1.88,2,2.12,3.88,3.88,3.88,2.25,3.12,2.88,0,2.12,2.38,3.62,3.38,3.5,0
"27-1025.00",3.86,3.75,3.88,3,4,3.25,3.5,2.88,2.38,2.88,4,4,4,2.62,3.75,2.88,1,2.5,2.62,4.12,4,4,1
"27-1026.00",3.71,3.12,3.12,2.38,3.38,3,3.25,1.62,1.12,1.88,4,3.88,3.25,2.5,3,2.75,1.25,2,2.12,3.88,3,3,0
"27-1027.00",3.91,3.62,3.75,3.25,4.12,3.5,3.62,3,2.62,3,4.38,4.25,4.12,3.12,3.5,3,2,2.62,2.75,4.62,3.88,3.75,1
"27-2011.00",3.25,3,3,2.38,3.38,3,3,0,4,0.12,4.12,4,3.38,1.88,3.12,3.12,0,2.25,2.88,2.5,3.5,3.38,0
"27-2012.01",3.35,3.12,4.12,2.12,4,3.75,3.5,3.12,2.25,3,4.12,4.25,3.88,2.5,3.88,3,0,2.38,2.62,3.25,4.12,4.38,0
"27-2012.02",4.05,3.62,4.12,3.12,4,4,3.75,2.12,2.75,2.25,4.12,4.12,4.12,3,4,3,0.62,3,3.12,3.5,3.88,3.88,1
"27-2012.03",4.38,3.88,4,2.75,3.5,4,3.88,2.88,3,2.88,4,4,3.88,2.25,4,3.12,0.25,2.75,3,2.88,4,4,1
"27-2012.04",3.28,3.12,3.75,2.62,3.62,3.5,3.25,2.12,2.38,2.38,3.88,4.12,3.25,2.25,3.25,2.88,0.12,2.12,2.5,2.88,4,3.88,0
"27-2012.05",3.03,3.38,4,3.25,3.88,3.75,3.62,2,2.62,2.12,4.12,4.25,3.75,3.12,4,3.75,0.62,3.12,3.12,3.75,3.88,3.75,0
"27-2021.00",3.27,2.5,3,2.75,3,3.12,3,1.5,2.12,1.5,3.88,3.88,3,2.88,3,3.12,1.38,2.12,2.88,2.88,3,2.88,0
"27-2022.00",3.81,3.88,4.12,3.25,3.88,4,4,2,2.88,2.12,3.88,4.75,3.88,3.12,4,3.25,1.38,3,3,4.38,3.88,3.75,0
"27-2023.00",3.52,2.75,3.38,3.5,2.12,3.12,3.12,1.75,2.38,2,3.88,3.75,2.12,3.5,3.5,3.75,1.62,3.25,3.12,2.5,3,2.62,0
"27-2031.00",3.34,2.75,2.75,2.62,2.75,2.62,3.12,0.5,3.12,0.5,3.88,3.38,3.38,2.5,2.75,2.88,1.5,2.62,2,2.75,2.75,2.5,0
"27-2032.00",4,3.12,3.5,2.75,4,3.25,3.38,1.25,3.12,1.38,4,4.25,4.25,2.5,3.62,3,1.88,2.25,2.88,3.62,3.38,3.12,1
"27-2041.01",3.82,3.5,3.5,3.25,4,3.12,3.88,1.38,3,1.75,4,4.12,3.88,3,3.88,3,0,3,2.62,3.12,3.75,3.25,0
"27-2041.04",3.97,3,3.25,2.88,3.5,3.25,3.38,1.88,2.25,2.13,3.88,4,4,2.25,3.25,3.38,0,2.38,1.88,2.25,3.5,3.88,1
"27-2042.01",3.19,2.75,2.88,2.25,3,2.75,2.88,0.5,3.62,0.75,3.88,3.38,3.12,1.38,2.75,3,0.25,2.12,2.25,2.12,3,2.62,0
"27-2042.02",3.5,3.12,3.12,3.12,3.25,3.12,3.62,1.25,2.5,1.38,4,4,3.62,3,3.12,3.75,0,2.75,3,3,3,3,0
"27-3011.00",3.76,3,3.75,1.75,3.25,3.38,3.25,1,3.75,1.12,4,4.12,3.62,2.12,3.38,3,0.88,3,3.12,1.62,4,3.88,0
"27-3012.00",2.58,2.88,2.88,3,2.88,2.88,2.88,1.62,2.38,1.75,4,4,2.75,2.62,2.88,3,0.62,2.88,2.88,2.62,3.62,2.75,0
"27-3021.00",3.61,3.38,4,3,3.62,3.88,3.62,2.12,2.75,2.5,4.5,4.62,3.5,2.88,4,3.12,0,2.88,3,2.5,4,4,0
"27-3022.00",4.18,3,3.88,2.38,3.88,4,3.5,0.88,2.75,1,4.5,4.38,3.75,2,3.75,3,0,2.75,2.25,2.12,4,4.25,1
"27-3031.00",3.92,3,3.88,2.38,3.75,3.88,3,2,2.25,2.25,4,4,3.75,2,3.88,2.88,0,2.25,2.5,2.25,4,4.12,1
"27-3041.00",3.84,3.62,3.75,3.62,4.25,3.62,3.62,1.88,2.75,2.12,4.25,4.12,3.88,3.25,3.38,3,0,2.75,2.38,3,4.88,5,0
"27-3042.00",3.83,3.12,4,2.38,3.25,3.12,4,0.88,1.38,1,4.25,4.12,3,1.88,3.12,2.38,0.25,1.38,1.62,3.25,4.5,5.12,0
"27-3043.04",3.53,3.25,3.5,2.5,3.88,3.38,3.25,1.88,2.5,1.62,4,4,3.75,2.25,3.38,2.62,0,2.38,2.25,2.25,4.12,4.12,0
"27-3043.05",3.69,3.25,3.75,2.75,4.25,3.62,3.62,0.88,2.38,1,4,4.12,4.75,2,3.5,3,0,2.62,1.12,3,4.12,5,0
"27-3091.00",3.84,3,3.12,2.88,3,3,3.62,1,2.5,1.12,4.5,4.62,2.88,2.88,3.5,3.75,0,3.12,3,2.12,4.25,4.12,0
"27-4011.00",3.92,3.12,3.38,3.25,2.88,3.62,3.88,2.25,2.12,2,4,3.88,2.88,3.12,3.75,3.12,0.5,2.5,2.88,3.5,3.75,3.5,1
"27-4012.00",3.86,3.12,3.62,3.25,3,3.12,3.12,2.12,2.88,2.12,4,4,3,3.25,3.75,3.88,0.75,2.88,2.5,3.12,3.5,3,1
"27-4013.00",4.25,2.88,3.5,3.25,2.75,3.38,3.25,2,2.38,1.5,4,4,2.5,2.62,3.5,3.5,0,2.5,3,2.5,3.38,3.62,1
"27-4014.00",3.78,3.38,3.25,2.88,3.5,3.12,3.75,2.38,2.38,1.75,4,3.62,3.38,2.38,3.12,3.38,0.5,3,2.62,2.75,3.62,3.5,0
"27-4021.00",3.35,3.38,3.5,3.12,3.62,3.25,3.12,1.38,1.88,1.38,4,4,3.75,2.88,3.62,3.12,0.88,2.75,2.88,3.62,3.5,3.12,0
"27-4031.00",3.34,2.88,3.5,3.25,3.25,3,3.12,2,2.25,2,4,3.75,3.12,3.12,3.25,3.25,1.5,2.25,3,3.75,3.25,3,0
"27-4032.00",3.61,3.62,3.38,3,3.38,3.5,3.88,2.25,2.62,2,3.88,3.88,3.5,2.88,3.25,3.12,0,2.88,2.75,3.38,3.5,3.5,0
"29-1011.00",4.2,3.88,4.38,3.25,3.12,4.38,3.88,2.75,2.75,2.75,4.75,4.25,3.12,2.88,4.75,2.88,0,3.12,2.62,3,4.25,4,1
"29-1021.00",3.78,4,4.88,3.75,3.75,5.25,4,3.12,2.75,3,5,4.62,3.88,3.12,5.12,3.88,1.5,3.5,3.12,3.75,4.25,3.62,0
"29-1022.00",4.57,3.88,4.88,3.75,3.62,5,4.25,3,2.88,3,5.12,5,3.75,3.12,5.25,3.75,0,2.88,3,4.12,4.75,4.12,1
"29-1023.00",4.44,3.5,4,3,3.12,4,3.88,2.88,2.5,2.62,4.12,4,3.25,2.88,4.88,3.38,0,2.38,2.88,3.5,4,4,1
"29-1024.00",4.52,3,3.88,2.88,3.38,3.88,3.38,2.5,2,2.38,4,4,3,2.62,4,2.88,0.25,2.25,2.5,4.12,3.88,3.75,1
"29-1031.00",4.17,3.88,4,2.88,3.88,4,3.88,3,2.88,3.12,4.62,4.75,3.88,2.88,4,2.88,0,2.5,2.38,2.62,4.25,4.38,1
"29-1041.00",4.39,4.12,4.62,4.12,3.25,5.12,4,3.12,2.5,3.5,5,4.38,3,3.38,5.12,3,0,3.38,2.75,3.38,4.5,3.88,1
"29-1051.00",3.7,4.12,4,3,3.12,4.12,3.88,3.5,3,3.62,4.75,4.62,3.25,3,4.12,3,0.12,2.75,2.88,2.5,4.62,4.5,0
"29-1061.00",4.29,3.25,4.75,3.75,3.25,4.75,4.12,3.12,2.25,3,4.88,5,3,3.88,5.5,3.88,0,2.88,3.12,2.38,4.88,4,1
"29-1062.00",4.61,3.5,4.38,3.5,3.12,5.12,3.5,2.5,2.5,2.38,5,5,3.38,3,5.38,3.12,0,3,2.88,2.12,4.88,4.5,1
"29-1063.00",4.71,4,4.75,3.75,3.88,5.62,4,3.12,2.75,2.88,5,5.12,3.5,3.12,5.5,3,0,3.12,2.88,2.88,5,4.5,1
"29-1064.00",4.43,3.62,4.75,3.12,3.12,5.12,3.88,2.88,2.75,2.88,4.75,4.75,3.25,3.12,5.75,3.12,0.25,2.88,3,2.75,4.88,4.12,1
"29-1065.00",4.48,3.25,4.25,3.38,3.38,5.25,4,2.62,2.75,2.5,5,4.75,3.38,3,5.38,3.12,0,3.12,2.88,2.25,4.88,4.62,1
"29-1066.00",4.38,4.12,4.62,3.25,3.88,4.75,4.12,2.88,3,2.62,5.12,4.75,3.62,2.75,4.88,2.88,0,3,2.75,2.5,4.62,4.88,1
"29-1067.00",4.31,4.25,5.12,4.25,4.25,5.62,4.5,3.12,3.12,3,5.5,5.25,4.25,3.88,6,4.12,0,3.75,3.5,4.25,5.12,4.62,1
"29-1069.01",4.58,3.88,4.62,3.62,3.75,4.88,3.75,3.5,3.25,3.25,5.25,4.38,3.5,3.25,5.12,3.25,0,3.38,3.12,2.88,4.75,4.25,1
"29-1069.02",4.42,4,4.88,3.88,3.62,5.5,3.75,2.62,3.12,2.88,4.62,4.88,3.5,2.75,5,3,0,3.38,2.25,3.12,4.38,4.38,1
"29-1069.03",4.24,4.25,5,4,3.88,5.25,4.12,3.25,3,3.12,5.12,5.12,3.5,3.38,5.25,3,0,3.5,2.88,3,4.88,4.25,1
"29-1069.04",4.49,4.5,5,4.38,4.38,5.5,4.25,3.62,2.88,3.38,5.5,5.25,3.88,3.62,5.75,3,0,4,2.75,3.62,5.12,4.5,1
"29-1069.05",4.48,4.12,5.12,4.12,4,5.38,4.12,3.5,3.12,3.25,5.5,5.12,3.88,3.5,5.5,3.12,0.5,3.12,2.5,3.12,5.12,4.62,1
"29-1069.06",4.46,4,5,4,3.88,5.5,4.12,3.25,3.12,3.25,5.25,5,3.75,3.25,5.5,3.12,0.88,3.25,2.5,3.38,4.88,4.5,1
"29-1069.07",4.89,4.38,5.25,4.25,3.88,5.88,4.38,3.12,3,3,5.62,5.5,3.88,3.12,5.62,2.75,0,4,2.62,3.12,5.25,4.62,1
"29-1069.08",4.54,4,4.62,3.62,3.88,5,4.38,3,2.75,3,5.12,4.75,3.88,2.88,5,3,0.12,3.12,2.5,3.62,4.88,4.25,1
"29-1069.09",4.64,4.5,5,4,4.25,5.62,4.12,3.38,3,3.12,5.38,5.5,4,2.88,5.75,2.88,0,3.25,3,3.25,5.12,4.88,1
"29-1069.10",4.28,3.75,4.38,4.25,3.38,4.5,4,3.5,3,3.12,4.75,4.5,3.25,3.25,4.88,3.5,0,3.5,2.88,3.38,4.75,4.5,1
"29-1069.11",4.35,3.5,4.75,3.75,3.75,4.88,3.88,2.88,2.88,2.62,5,5,3.5,3.5,5.12,3.12,0.25,3.38,3.25,3.62,4.62,4.5,1
"29-1069.12",4.91,3.75,4.62,3.75,3.25,5.12,3.88,2.62,2.75,2.5,4.88,4.88,3.25,3.38,5.25,3.25,0.25,3.5,2.75,2.88,4.75,4.5,1
"29-1071.00",4.25,4,4.38,3.5,3.12,4.62,3.75,3,2.88,3.12,5.12,4.5,3.12,3,4.88,2.75,0,3.12,2.75,2.75,4.38,4.12,1
"29-1071.01",4.06,3.12,3.88,3.75,2.88,3.88,3.75,3,3,3.38,4.12,3.88,2.62,3.62,4.12,3.62,0,3,3,3,4.12,3.75,1
"29-1081.00",4.29,3.5,4.75,3.75,3.38,5.12,3.62,2.62,2.88,3.12,5,5,3.5,3,5.38,2.88,0,3.12,2.62,3.38,5,4,1
"29-1122.00",4.1,3.38,4,3,3.5,4,4,2.88,2.38,2.25,4,4,4,2.75,4,3.12,0.38,2.75,2.75,3,4,4,1
"29-1122.01",3.88,3.12,3.88,3.12,3.25,3.88,3.5,2.88,2.75,2.25,4,4.12,3.38,2.75,4,3,0.75,2.88,2.88,2.88,4,4,1
"29-1123.00",4.53,3.75,4.25,3.25,3.38,4.38,3.75,2.75,3,2.75,4.38,4.75,3.38,2.75,4.25,2.88,0.12,2.75,2.75,3,4.25,4.25,1
"29-1124.00",4.11,3.5,3.88,3.12,3,3.25,3.88,3,2.88,2.88,4,4,2.62,3.12,3.88,3.12,1.38,2.75,2.88,2.88,4,3.38,1
"29-1125.00",3.88,3,4,3,3.12,4,3.5,2,2.12,2.25,4,4,3.88,2.88,4,3,0.88,2.25,3,2.88,4,4,1
"29-1125.01",3.52,3.38,4,2.88,3.88,3.88,3.62,2,2.38,1.88,4.38,4.38,3.75,2.25,4.12,2.88,0.12,2.5,2.25,3.12,4,4.12,0
"29-1125.02",3.89,3.12,3.75,3,3.62,3.88,3.5,2.38,3,2.38,4.12,4.12,3.88,2.75,4.12,3.5,0,2.88,3.12,2.88,3.88,3.88,1
"29-1126.00",4.45,3.38,3.75,3,2.75,3.88,3.75,2.88,2.75,2.88,4,4,3,3.12,4,2.88,0.5,2.75,2.88,2.5,3.75,3.62,1
"29-1127.00",3.95,3.62,4,3.75,3.88,4.25,3.62,2.62,2.75,2.5,4.75,4.88,4,3,4.25,3.12,0,3.25,2.88,2.38,4.38,4.5,1
"29-1128.00",3.79,3.62,4.25,3,3.5,4.5,3.75,3,2.38,2.88,4.5,4.62,3.62,2.62,4.38,2.88,0.12,2.62,2.5,2.75,4.5,4.38,0
"29-1131.00",4.34,3.25,4.38,3.12,3.25,4.75,3.88,3,2.38,2.88,4.12,4,3.12,2.38,5.12,3.12,0.12,2.88,3,3.12,4.12,4,1
"29-1141.00",4.3,3.88,4.12,3.5,3.12,4.88,3.88,3,3.12,3,4.75,4.62,3.12,3.25,5,3.38,0.25,3,3.12,2.75,4.25,3.88,1
"29-1141.01",4.11,3.38,4,3,3,4,4,2.88,2.88,2.88,4.12,4,3,3,4.75,3.12,0,3,3,2.88,4,4,1
"29-1141.02",4.48,3.38,4.12,3.12,3.25,4.25,3.88,2.75,2.62,2.75,4.38,4.5,3.25,2.88,4.75,2.88,0.12,3,2.75,2.5,4.25,4,1
"29-1141.03",4.5,3.88,4,3.88,3.5,4,4,2.88,3,2.88,4.5,4,3.25,3.88,4.88,3.62,0,3.5,3.25,2.75,4,4,1
"29-1141.04",4.15,3.38,4,3.25,3.5,4,3.75,3,2.62,3,4.38,4.12,3.38,3,4.38,3.5,0.25,3,3,2.88,4.25,4,1
"29-1151.00",4.65,3.75,4.12,3.38,3.5,4.12,4,3,3,3,4.75,4.12,3.12,3.38,5,4,0,3.12,3,3,4.38,4,1
"29-1161.00",4.31,3.62,4.25,3,3.12,4.12,3.88,2.62,2.75,2.62,4.5,4.38,3,3,5,3.38,0,2.88,3,2.75,4.38,4.12,1
"29-1171.00",4.47,3.88,4.25,3.5,3.5,4.88,4,3,3,3,5,4.38,3.25,3.12,5.12,3.12,0,3.12,3,2.5,4.62,4.25,1
"29-1181.00",3.83,3.38,4.38,3.25,3.25,4.75,3.75,3,2.75,2.62,4.88,4.88,3.25,3,5,3,0.12,3.12,2.25,2.62,4.75,4.25,0
"29-1199.01",3.95,3.5,4,3.5,2.88,4.25,3.38,1.75,1.38,2.38,4.38,4.12,2.88,2.62,4,2.88,0.38,2.25,2.25,2.88,4.12,3.75,1
"29-1199.04",4.33,4,4.88,4,3.88,5.25,4,3,2.88,3,5,5,3.5,3,5.25,3,0,3.12,2.88,3.12,4.88,4.12,1
"29-1199.05",4.2,3.75,4.25,3.75,3.12,4.62,3.75,2.38,2.62,2.38,4.62,4.62,3,3,4.88,3.12,0,2.88,2.25,2.88,4.38,4,1
"29-2011.00",4.57,3.75,4,3.88,2.88,4,4,3,2.88,3,4.38,4,2.88,3.5,4.12,3.25,0,3.12,2.38,3,4,3.62,1
"29-2011.01",3.96,3.88,4.12,3.88,2.88,4.12,4,2.88,2.25,2.88,4.5,4.5,2.62,3.12,4.12,3.38,0,3,2.12,3,4.38,4.38,1
"29-2011.02",4,3.75,3.75,3.88,2.25,3.88,3.62,2.88,2.25,2.5,4.25,4.12,2.25,3.12,4.12,3.25,0,2.75,2.38,3,4,3.5,1
"29-2011.03",3.88,3.5,3.12,4,2.38,3,3.75,2.75,2.25,2.88,4,4,2.12,3,3.88,3.12,0,2.62,2.38,2.88,3.88,3.12,1
"29-2012.00",4.43,3.5,3,3,2.88,3.12,3.62,2.88,2.75,2.75,3.88,3.88,2.88,2.88,3.75,3,0,2.75,2.75,2.88,3.12,3,1
"29-2021.00",3.3,3,3.25,2.88,2.5,3.5,3,1.88,2,1.88,4,4,2.38,2.75,4,3,0,2,2.88,2.5,3.75,3.62,0
"29-2031.00",3.88,3.25,3.88,3.25,3,3.88,3.38,2.75,2.62,2.75,4,4,2.62,3.25,4.12,3.25,0,3,2.88,2.62,3.62,3.5,1
"29-2032.00",4.04,3.25,3.38,3.5,2.88,3.38,3.12,2.38,2.88,2.25,3.88,4,2.88,3.25,3.5,3.12,0,3,2.88,3,3.88,3.38,1
"29-2033.00",4.06,3.38,3.5,3,2.88,3.5,3.75,3,2.75,3,4.25,3.88,2.75,3,3.88,2.88,0,2.38,2.62,3,3.75,3.62,1
"29-2034.00",3.64,3.12,3.5,3.12,2.88,3.38,3.12,2.12,2,2.25,4,4,2.75,3.12,4,3.12,0.38,2.38,2.75,2.75,4,3.62,0
"29-2035.00",3.78,3,3.62,3.38,3,3.62,3.62,2.5,2.62,2.62,4,3.88,3,3,3.25,3.12,0.25,2.75,2.88,3,4,3.75,0
"29-2041.00",4.18,3.38,4,3.62,3,4,3.88,2.62,3,2.75,4.12,4.12,3,3.62,4.12,3.12,2.62,3.38,3.38,3.25,3.75,3.12,1
"29-2051.00",3,3.62,3.25,2.88,3,3.12,3.12,2.75,2.62,2.75,3.75,3.88,3,2.75,3.12,2.88,0.12,2.25,2.88,2.88,3.38,3,0
"29-2052.00",3.36,3.5,3.38,2.75,2.12,3,3.12,2.62,2.38,3,4,4,2.12,3,3.12,3,0,2.62,2.5,2.38,3.62,2.88,0
"29-2053.00",3.54,3.25,4,3,3,3.88,3.25,2,2.12,2.25,4,4,3,2.75,4,3,0.5,2.25,2.75,2.5,3.62,3.62,0
"29-2054.00",3.83,3,3.75,3,2.88,3.75,3.62,2.5,2.62,2.5,4.25,4,2.88,3.25,4,3,0,3.12,2.62,3.12,3.75,3.12,0
"29-2055.00",3.82,3,3.38,3.38,2.88,3.12,3.38,2.12,2.88,2.25,4,4,2.5,3.75,3.75,3.88,0.12,2.88,3,3,3.38,3,0
"29-2056.00",3.55,3.88,3.75,3.12,2.88,3.88,3.38,3,2.75,3,4,4,2.88,3,4,3,0,2.75,2.75,3,3.62,3.12,0
"29-2057.00",3.83,3,3.38,2.88,2.5,3.25,3.12,2.38,2.38,2.5,4.12,4,2.12,2.38,3.5,2.75,0.12,2.38,2.38,2.75,3.75,3,0
"29-2061.00",4.16,3,3.75,2.88,3,3.75,3.5,2.38,2.38,2.75,4,4,2.88,2.88,4,3,0.12,2.88,2.88,2.62,4,3.5,1
"29-2071.00",3.9,3.25,3.12,2.5,2.5,2.88,3.12,2.12,2,2,3.75,3.5,2.5,2.62,2.88,2.62,0,1.88,2.12,1.75,3.38,3.25,1
"29-2081.00",3.96,3.12,3.25,2.5,2.88,3.12,2.88,2.5,2,2.75,4,4,2.75,2.5,3,2.88,0,2.25,2.5,2.88,3.62,3.5,1
"29-2091.00",4.28,4,4.12,2.75,3.38,4,3.88,3,2,2.5,4.62,4.62,3.5,2.5,4,2.75,0,2.75,2.62,4,4.25,4.38,1
"29-2092.00",4.15,3,3.25,3,2.75,3.38,2.88,2.25,2.62,2.62,3.88,3.75,2.75,2.75,3.38,3,0,3,2.5,2.88,3.62,3.25,1
"29-2099.01",4.18,3.12,3.88,3.12,2.62,3.88,3.75,2.38,2.25,2.38,4.12,4,2.88,3,4,3.12,0,2.5,2.5,2.88,3.88,3.62,1
"29-2099.05",3.44,3.12,3.38,3.25,2.75,3.62,3.25,2.62,2.38,2.5,4.38,3.88,2.5,2.88,3.75,3,0.12,2.25,2.12,3,3.88,3.38,0
"29-2099.06",3.67,3.25,3.25,3.12,2.88,3.25,3.75,2.25,2.25,2.25,4,4,2.88,3,3.62,2.88,0.12,2.25,2.62,3.12,3.75,3.12,0
"29-2099.07",4.1,3,3.62,3.38,2.75,3.62,3.5,2.5,3,2.62,4,3.88,2.88,3.5,3.88,3.5,0.25,3,2.88,3.25,3.75,3.5,1
"29-9011.00",4.29,3.62,4.25,4,3.25,4.25,3.75,3.12,3,3.12,4.12,4.5,3.25,3.38,4.62,3,1,3,2.75,3.12,4.12,4,1
"29-9012.00",4.35,3.38,3.88,3.25,3,3.88,3.25,2.88,2.38,2.88,3.88,4,3,3.38,4,2.88,1.25,2.88,2.75,2.25,3.88,3.75,1
"29-9091.00",4.23,3.38,4,3.75,3.25,4.38,3.75,1.88,2.62,2,4.12,4.12,3.25,3,4.5,2.88,0.12,2.88,2.38,3.62,4,3.88,1
"29-9092.00",4.13,3.5,4.62,3.12,3.25,4.62,4,3.12,2.88,2.88,4.88,5,3.12,3,4,2.88,0,2.88,2.75,2.62,4.88,4.88,1
"29-9099.01",4.22,3.38,4.5,3.38,3.25,4.38,3.75,2.38,2.62,2.5,4.38,4.38,3.12,3.38,5.12,3.5,0,3.25,2.88,2.75,4,3.62,1
"31-1011.00",3.33,2.88,3.12,2.88,2.88,3.12,3,2,1.88,2,3.75,3.88,2.88,2.25,3.5,3,0.88,2.25,2.88,2.88,3,3,0
"31-1013.00",3.76,3,3.12,3,2.88,3.12,3.12,1.75,1.88,1.88,3.88,3.88,2.75,2.88,4,3,0.75,2.5,2.88,2,3.38,3.12,0
"31-1014.00",3.81,2.75,3,2.62,2.38,2.88,2.88,1.75,2,2,3.62,3.62,2.25,2.25,3.38,2.5,0.25,1.88,2.12,2.12,2.88,2.5,0
"31-1015.00",2.89,2.75,2.75,2,1.88,2.5,2.38,1.12,1.75,1.25,3.12,3.12,2,2,2.75,2.12,0.88,1.88,2.12,1.75,2.75,2.12,0
"31-2011.00",3.78,3,3.38,2.75,3,3.38,3.25,2.12,2.5,2,4,4,3,2.75,4,2.88,0.12,2.12,2.88,2.75,3.88,3.75,0
"31-2012.00",3.57,3,3.12,2.25,2.62,3.12,3.12,1.88,2,2,3.88,3.75,2.75,2.12,3.5,2.88,0,2.12,2.88,2.62,3.25,3.25,0
"31-2021.00",3.91,3.25,3.5,2.75,3,3.38,3.25,2,2.5,2.25,4.25,4.25,2.88,3,3.75,2.88,0.25,2.75,2.88,3,3.62,3.12,1
"31-2022.00",3.43,3,3,2.12,2,3,3,1.88,2,2,3.75,3.12,2,2.38,3,2.88,0.25,2,2.25,2.75,3,2.88,0
"31-9011.00",3.83,2.75,3.25,2.38,2.75,3.12,2.88,0.62,1.38,0.88,3.75,3.62,2.75,2.12,3.25,3,0.12,1.88,2.38,1.88,3.25,3,0
"31-9091.00",3.59,3,3.12,2.12,2.75,3.12,3,2.12,2.12,2.25,4,3.75,2.38,2.25,3.25,2.75,0.12,2,2.5,2.62,3.25,3.12,0
"31-9092.00",4.22,3.12,3.5,3,2.75,3.25,3.12,2.75,2.38,2.75,4.12,3.62,2.62,2.88,3.62,2.88,0.12,2.5,2.88,2.38,3.62,3.5,1
"31-9093.00",3.93,3,3.12,2.88,2,2.62,3,1.88,2,2,3.75,3.12,2,3.12,3.12,2.88,1.62,2,2.75,3.25,3.12,2.5,1
"31-9094.00",2.86,3,3.12,2.88,1.75,3.12,3,1.5,2.12,1.25,4.5,3.88,1.62,2.88,3,2.75,0,2.38,1.88,0.75,4.25,4.12,0
"31-9095.00",3.22,2.75,3,2.12,1.75,2.75,2.75,2.25,1.88,2.25,4,3.5,1.5,2.62,3,2.25,0.38,1.75,2.12,2.12,3.12,2.75,0
"31-9096.00",3.31,2.88,3,2.88,2.25,3,3,2.38,2,2.38,3.75,3.25,2,2.88,3.75,2.38,0,2.38,2,2.38,3.12,3,0
"31-9097.00",3.91,3.12,3.25,3.12,2.25,3,3.25,2,2.12,2.12,4,4,2.12,3,3.12,3,0.12,2,2.12,2.62,3.88,3,1
"31-9099.01",4.39,2.88,3.12,2.75,2.75,3.25,3.12,2.25,2.75,2.5,4.12,4.12,2.5,2.88,3.5,2.88,0,2.75,2.88,2.38,3.88,3.88,1
"31-9099.02",3.84,3.12,3.12,2.88,2.25,3,3.25,1.88,2.25,2.12,4,4,2,3,3.38,3.12,0.25,2.25,2.75,2.88,3.5,3.12,0
"33-1011.00",3.9,3,3.88,3.38,3.12,3.88,3.12,2.12,2.12,2.38,4,4,3.25,3,4,3.62,2,2.5,3,2.62,3.75,3.88,1
"33-1012.00",4.13,3.62,4.12,3.62,3.62,4,3.75,2.62,3,2.88,4.25,4.25,3.38,3,4,3.5,2.25,3.38,3.5,2.88,4,4,1
