"O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"15-1131.00",4.74,3.12,3.88,3.12,3.38,3.88,4,3.12,2.12,3.12,4,3.75,3.25,2.88,3.75,3.12,0,2.12,2.12,2.75,4,3.75,1
"15-1132.00",4.85,3.88,4,3.25,3.88,4,3.88,4,2.5,3.62,4.12,4,3.88,3.12,4,3.25,0,2.88,2.12,2.88,4,3.88,1
"15-1133.00",4.57,3.25,4,2.88,3.25,3.88,3.88,3.25,2.38,2.88,4.12,4,3.5,2.38,4,2.88,0.12,2.25,2.38,3,4,3.88,1
"15-1134.00",4.17,3.5,4,3.38,3.62,3.38,3.75,2.88,2.38,3,4,4,3.62,3.12,3.75,3.25,0,3.12,1.75,3.62,3.88,3.62,1
"15-1141.00",4.56,3.88,4.12,3.38,3.75,3.88,4,3.38,2.88,3.38,4.12,4.25,3.75,3.12,4,3.12,0,3.12,2.12,3,4,4,1
"15-1142.00",4.5,3.62,4,3.5,3.75,4,4,3.12,2.75,3,4.25,4,3.62,3,4,3.5,0,2.88,2.25,3.5,4.12,3.75,1
"15-1143.00",4.59,4,4.38,3.25,3.62,4,4.25,3.5,2.5,3.25,4.25,4.25,3.5,3,3.75,3.25,0.25,2.62,2.38,3.38,4.38,4.25,1
"15-1143.01",4.39,3.38,3.62,3,3.38,3.5,3.5,3.12,2.62,3.12,4,3.88,3.25,2.75,3.75,3.25,0.88,2.62,2.5,2.88,4.12,3.62,1
"15-1151.00",4.38,3.12,3.5,2.88,3,3.62,3.75,2.62,2.38,2.25,4.12,4.12,3,3,3.5,2.88,0.12,2.5,2.5,2.88,4,3.62,1
"15-1152.00",4.51,3.38,4,3,3.5,3.62,3.75,2.38,2.75,2.5,4.25,4,3.12,2.5,3.5,3.12,0.12,2.62,2.25,3.25,4,3.75,1
"15-1199.01",4.65,3.38,4,3.12,3.25,4,4,2.88,2.25,2.5,3.88,3.88,3.25,2.62,3.75,3,0.25,2.38,2.25,2.75,4,3.88,1
"15-1199.02",4.67,3.75,4.25,3,4,4,3.88,3.25,2.75,3.25,4.5,4.12,4,3,4.12,3.25,0,2.88,2.25,3.38,4.12,4.5,1
"15-1199.03",4.5,3.25,4,3.12,3.12,3.88,3.75,3,3,2.88,4.25,4.12,3.25,2.88,4,3,0,2.88,1.88,2.88,4.12,3.88,1
"15-1199.04",4.39,3.75,4,3.25,3.38,4,4,3.62,2.5,3.25,4.62,4.12,3.25,2.88,3.88,3.12,0,2.62,2.5,3,4.75,4.25,1
"15-1199.05",4.72,3.75,4,3.75,3.38,3.62,4,4.12,2.62,3.62,4.38,3.88,3.25,3,3.38,3,2,2.62,2.12,3.88,4.38,3.75,1
"15-1199.06",4.88,3.5,4.38,3,3.5,3.88,4,3.12,2.38,3,4.62,4.12,3.5,2.75,4,3,0,2.88,2.12,3,4,3.88,1
"15-1199.07",4.91,3.5,4,3,3.25,3.88,4,3.12,2.5,3.25,4,4,3.25,2.88,3.5,3,0,2.5,1.75,2.75,4,4,1
"15-1199.08",4.87,3.62,4.75,3.38,3.62,4.5,3.75,3.62,2.75,3.5,4.62,4.62,3.5,2.62,3.62,2.5,0,2.88,2.12,2.25,4.5,4.38,1
"15-1199.09",4.38,3.75,4,3.12,3.88,4,3.88,3.12,2.75,3.12,4.12,4,3.25,2.75,4,2.88,0,2.88,2,3,4.25,4,1
"15-1199.10",4.7,3.38,3.88,3,3.75,3.75,3.38,3.25,2.62,3.12,4,4.12,3.88,2.62,3.5,3,0,2.75,2.5,2.38,4.25,4,1
"15-1199.11",4.48,3.38,3.88,2.88,4.12,3.88,3.62,3,3,2.75,3.88,3.75,4.12,2.62,3.62,3.62,0,2.62,2.75,3.88,3.75,3.62,1
"15-1199.12",4.32,3.38,3.5,2.88,3.25,3.5,3.5,2.62,2.75,2.75,4,3.88,3.38,2.75,3.5,3,0,2.62,2.75,2.75,4,3.75,1
"15-2011.00",4.81,4,4.75,3.38,4,4.62,4.25,5,2.62,5,4.5,4.75,3.5,3,4.38,3.62,0,2.88,2.38,2.88,4.62,4,1
